student_id,hours_studied,sleep_hours,attendance_percent,previous_scores,exam_score,productivity_score
S098,6.8,4.0,58.3,95,36.0,2
S099,11.7,4.4,73.4,70,39.9,5
S101,1.1,8.5,81.1,92,31.4,6
S102,8.9,6.7,51.3,44,31.3,6
S103,8.5,8.2,69.7,65,35.7,9
S104,6.9,6.9,78.2,71,32.6,5
S105,3.9,4.7,51.4,44,24.1,1
S106,8.1,4.6,82.1,76,38.2,6
S107,2.2,5.5,56.8,80,23.7,2
S111,10.6,8.5,60.6,49,39.6,9
S112,3.9,5.1,66.3,91,34.8,3
S113,6.5,5.2,88.1,76,34.6,6
S114,3.0,4.5,69.0,59,26.4,1
S115,11.0,7.9,87.6,45,43.1,10
S116,10.6,8.4,91.6,55,46.4,10
S117,4.3,6.0,62.6,47,25.2,3
S118,8.0,7.1,54.1,75,31.3,8
S119,7.7,4.8,51.0,88,35.8,2
S120,2.7,8.6,77.0,66,29.8,5
S121,9.4,8.3,100.0,78,47.9,10
S122,6.9,8.9,67.5,78,40.9,7
S124,6.8,8.4,89.1,79,39.3,8
S125,1.0,4.1,82.6,54,21.2,2
S126,4.6,7.7,87.7,89,38.6,6
S127,1.2,5.7,97.5,73,26.8,4
S129,10.7,8.0,51.0,68,36.1,8
S130,10.1,8.3,57.6,68,39.2,8
S131,4.4,8.1,56.3,59,32.9,4
S132,1.6,5.3,83.5,95,28.8,4
S133,10.7,7.9,78.2,77,45.7,9
S134,11.4,4.5,60.9,67,40.8,5
S135,1.9,8.4,85.0,59,30.6,6
S136,6.3,8.3,88.3,76,41.1,8
S137,1.8,5.1,58.4,79,29.0,2
S138,9.4,8.1,80.4,43,35.1,10
S139,9.4,6.3,87.4,79,39.9,8
S140,2.4,5.5,55.7,87,29.9,2
S141,6.2,8.0,91.0,46,35.0,8
S142,7.0,5.1,98.2,88,43.3,6
S143,3.9,4.1,55.4,53,19.0,1
S144,10.6,5.0,51.3,80,35.1,4
S145,5.7,5.6,65.6,53,29.9,5
S146,3.3,8.3,83.9,56,33.0,6
S147,6.9,8.8,97.9,82,45.8,8
S148,9.0,5.4,69.8,45,35.5,7
S149,3.2,7.2,85.8,50,26.4,6
S150,4.4,6.0,53.8,55,21.9,2
S151,11.9,8.9,84.5,51,44.1,10
S152,8.1,6.7,81.4,75,42.3,8
S154,6.7,4.6,88.6,50,33.4,4
S155,2.3,8.9,92.5,40,29.7,6
S156,3.5,4.9,80.0,66,23.6,2
S157,4.7,8.8,56.1,68,33.6,4
S158,7.5,5.3,99.2,84,37.9,6
S159,3.5,4.5,89.1,78,29.5,2
S160,3.4,6.2,67.4,70,24.7,3
S161,1.8,7.6,71.4,58,25.2,5
S163,3.5,7.0,75.3,54,30.0,5
S164,11.0,6.6,67.1,58,35.8,7
S165,10.5,5.9,92.5,85,40.6,8
S167,3.6,5.3,55.3,84,30.3,2
S168,8.4,7.5,98.0,95,42.0,10
S169,3.4,4.0,81.8,69,32.1,2
S170,2.5,8.6,91.4,44,22.8,6
S171,11.3,6.7,85.4,83,45.3,8
S172,7.3,7.6,71.8,54,31.0,7
S173,6.2,7.7,86.7,56,31.0,8
S174,9.6,7.4,98.3,90,40.9,10
S176,3.1,4.3,90.4,80,34.4,2
S177,2.1,7.3,76.9,77,30.7,5
S178,5.7,5.7,74.2,82,31.0,5
S179,5.7,5.6,71.8,91,35.0,5
S180,6.1,8.2,86.6,52,31.4,8
S181,9.0,7.6,63.4,67,38.4,9
S183,11.8,5.5,91.5,74,44.1,8
S185,5.4,6.0,94.1,81,39.4,6
S186,4.7,5.5,62.2,49,22.9,3
S189,3.1,8.7,68.9,49,23.4,5
S190,5.9,7.4,51.4,44,28.0,6
S191,5.6,8.5,92.5,43,32.2,8
S192,4.1,7.1,59.1,50,30.7,4
S193,3.7,5.5,60.6,90,28.8,3
S194,11.2,6.7,89.9,59,46.7,8
S195,5.9,4.0,67.0,78,33.8,3
S196,10.5,5.4,94.0,87,42.7,8
S197,7.1,6.1,85.1,92,40.4,6
S198,1.6,6.9,63.8,76,28.2,3
S199,12.0,7.3,50.5,58,42.0,8
